step,fitness,genome
0,315953.8812039745,[-1.45311166  1.46093731]
0,2075.0493688274605,[-0.91285812 -1.15269767]
0,843.7916053711587,[1.64002543 0.54377745]
0,4253.207642704186,[1.38727711 1.33908143]
0,843.7916053711587,[1.64002543 0.54377745]
0,6071.1915345625175,[-1.30606325 -1.22517364]
0,843.7916053711587,[1.64002543 0.54377745]
0,7667.4479152865915,[-1.40424604 -1.61397487]
0,149.93183395050573,[-0.62823375 -0.65626073]
0,7431.074324330746,[1.55777353 1.48017541]
0,261717.2482938909,[-1.40424604  1.38602513]
0,6071.1915345625175,[-1.30606325 -1.22517364]
0,1078.25426800369,[0.77926671 0.34550159]
0,4253.207642704186,[1.38727711 1.33908143]
0,4253.207642704186,[1.38727711 1.33908143]
0,149.93183395050573,[-0.62823375 -0.65626073]
0,2644.5413981625848,[-1.45311166  0.46093731]
0,1071.405128181288,[0.55777353 0.48017541]
0,2075.0493688274605,[-0.91285812 -1.15269767]
0,16630.048225773346,[-1.65928871  0.29880168]
0,3598.2342722121207,[-1.32375579 -0.9809709 ]
0,7647.951780819358,[-0.05240683 -1.65159771]
0,5341.722909118892,[0.98046313 1.21959855]
0,8981.320275886765,[-0.01216115  0.66561572]
0,12243.185485943895,[-1.42781493  0.68160708]
0,7667.4479152865915,[-1.40424604 -1.61397487]
0,3598.2342722121207,[-1.32375579 -0.9809709 ]
0,43337.43738349329,[-0.85946466  0.8022195 ]
0,149.93183395050573,[-0.62823375 -0.65626073]
0,19103.311525385874,[-1.92385242 -0.96201889]
0,84.54888877346143,[-0.84132963 -0.17724067]
0,11776.243470653579,[-1.65928871 -0.70119832]
0,1024.1416820457007,[0.14443051 0.25827919]
0,810.667430582051,[1.55777353 0.48017541]
0,893.4183357478131,[-1.19266189  0.0708206 ]
0,3.7347480180250567,[-0.00925931 -0.9607328 ]
0,149.93183395050573,[-0.62823375 -0.65626073]
0,843.7916053711587,[1.64002543 0.54377745]
0,13520.942423203742,[-0.90237752 -1.90578342]
0,643455.4936425904,[-1.54188083  1.77015605]
0,3.7347480180250567,[-0.00925931 -0.9607328 ]
0,149.93183395050573,[-0.62823375 -0.65626073]
0,924885.8708650197,[-1.84009609  1.9586868 ]
0,1006.8794499705716,[1.03436359 0.84480356]
0,19292.79233684193,[0.37968549 1.15217846]
0,1580.1398308007651,[1.59924598 1.18412839]
0,24387.375482075524,[-1.97409867 -1.58941855]
0,3.7638663853321965,[ 0.01225068 -1.03622208]
0,4253.207642704186,[1.38727711 1.33908143]
0,8981.320275886765,[-0.01216115  0.66561572]
step,fitness,genome
1,5129.511157493024,[-0.62823375  0.34373927]
1,1071.405128181288,[0.55777353 0.48017541]
1,1580.1398308007651,[1.59924598 1.18412839]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,8981.320275886765,[-0.01216115  0.66561572]
1,616228.9336667736,[-1.30606325  1.77482636]
1,9623.743986967178,[1.64002543 1.54377745]
1,893.4183357478131,[-1.19266189  0.0708206 ]
1,2075.0493688274605,[-0.91285812 -1.15269767]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,7647.951780819358,[-0.05240683 -1.65159771]
1,1580.1398308007651,[1.59924598 1.18412839]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,1024.1416820457007,[0.14443051 0.25827919]
1,2075.0493688274605,[-0.91285812 -1.15269767]
1,843.7916053711587,[1.64002543 0.54377745]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,3.7638663853321965,[ 0.01225068 -1.03622208]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,7647.951780819358,[-0.05240683 -1.65159771]
1,11776.243470653579,[-1.65928871 -0.70119832]
1,1580.1398308007651,[1.59924598 1.18412839]
1,6071.1915345625175,[-1.30606325 -1.22517364]
1,84.54888877346143,[-0.84132963 -0.17724067]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,843.7916053711587,[1.64002543 0.54377745]
1,2075.0493688274605,[-0.91285812 -1.15269767]
1,1071.405128181288,[0.55777353 0.48017541]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,71.20406963410377,[ 0.37176625 -0.65626073]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,5341.722909118892,[0.98046313 1.21959855]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,794.6569766363367,[1.38727711 0.33908143]
1,893.4183357478131,[-1.19266189  0.0708206 ]
1,7431.074324330746,[1.55777353 1.48017541]
1,13520.942423203742,[-0.90237752 -1.90578342]
1,4253.207642704186,[1.38727711 1.33908143]
1,6071.1915345625175,[-1.30606325 -1.22517364]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,3.7347480180250567,[-0.00925931 -0.9607328 ]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,843.7916053711587,[1.64002543 0.54377745]
1,2644.5413981625848,[-1.45311166  0.46093731]
1,4253.207642704186,[1.38727711 1.33908143]
1,6083.721666356399,[ 0.99074069 -0.9607328 ]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,149.93183395050573,[-0.62823375 -0.65626073]
1,76129.68687005725,[-0.05240683  1.34840229]
step,fitness,genome
2,616228.9336667736,[-1.30606325  1.77482636]
2,3.7347480180250567,[-0.00925931 -0.9607328 ]
2,794.6569766363367,[1.38727711 0.33908143]
2,893.4183357478131,[-1.19266189  0.0708206 ]
2,3.7638663853321965,[ 0.01225068 -1.03622208]
2,149.93183395050573,[-0.62823375 -0.65626073]
2,84.54888877346143,[-0.84132963 -0.17724067]
